Chain_ID,Squad,from,to,Type,chains.start,chain.end,Dist_to_Goal
608,GWS GIANTS,Harry Himmelberg,Tom Green,Handball Effective,Stoppage,Turnover,139
608,GWS GIANTS,Tom Green,,Kick Ineffective,Stoppage,Turnover,138.5
610,GWS GIANTS,Harry Himmelberg,,Kick Ineffective,Kick-in,Turnover,148.5
612,GWS GIANTS,Sam Taylor,Lachie Whitfield,Handball Effective,Intercept,Turnover,147.8
612,GWS GIANTS,Lachie Whitfield,Stephen Coniglio,Handball Effective,Intercept,Turnover,135.6
616,GWS GIANTS,Lachie Whitfield,Lachie Ash,Kick Effective Short,Kick-in,Turnover,151.3
616,GWS GIANTS,Lachie Ash,Lachie Whitfield,Kick Effective Short,Kick-in,Turnover,144.4
616,GWS GIANTS,Lachie Whitfield,,Kick Effective Long,Kick-in,Turnover,140.3
618,GWS GIANTS,Kieren Briggs,Brent Daniels,Handball Effective,Stoppage,Turnover,107
618,GWS GIANTS,Brent Daniels,,Kick Effective Long,Stoppage,Turnover,103.5
620,GWS GIANTS,Stephen Coniglio,Tom Green,Handball Effective,Stoppage,Turnover,78.7
620,GWS GIANTS,Tom Green,Brent Daniels,Kick Ineffective,Stoppage,Turnover,86.3
622,GWS GIANTS,Stephen Coniglio,Toby Bedford,Handball Effective,Intercept,Stoppage,61.2
622,GWS GIANTS,Toby Bedford,,Kick Ineffective,Intercept,Stoppage,47.3
623,GWS GIANTS,Jesse Hogan,,Kick Effective Short,Stoppage,Score,17.5
626,GWS GIANTS,Nick Haynes,Lachie Ash,Handball Effective,Intercept,Score,116
626,GWS GIANTS,Lachie Ash,Toby Bedford,Kick Effective Short,Intercept,Score,118.3
626,GWS GIANTS,Toby Bedford,Brent Daniels,Kick Effective Long,Intercept,Score,107.4
627,GWS GIANTS,Kieren Briggs,Lachie Whitfield,Handball Effective,Intercept,Score,45.8
627,GWS GIANTS,Lachie Whitfield,Aaron Cadman,Knock On,Intercept,Score,57.5
627,GWS GIANTS,Aaron Cadman,Lachie Ash,Handball Effective,Intercept,Score,66.8
627,GWS GIANTS,Lachie Ash,Nick Haynes,Handball Effective,Intercept,Score,74.4
627,GWS GIANTS,Nick Haynes,,Kick Ineffective,Intercept,Score,77.4
627,GWS GIANTS,Jesse Hogan,Josh Kelly,Handball Effective,Intercept,Score,24.5
627,GWS GIANTS,Josh Kelly,Callum M. Brown,Kick Effective Short,Intercept,Score,28.3
627,GWS GIANTS,Callum M. Brown,,Kick Effective Short,Intercept,Score,22.7
628,GWS GIANTS,Josh Kelly,,Kick Effective Long,Stoppage,Score,80.7
628,GWS GIANTS,Harvey Thomas,Brent Daniels,Handball Effective,Stoppage,Score,24.6
628,GWS GIANTS,Brent Daniels,,Kick Effective Short,Stoppage,Score,33.7
629,GWS GIANTS,Tom Green,,Ground Kick,Stoppage,Turnover,
630,GWS GIANTS,Stephen Coniglio,Toby Bedford,Kick Effective Short,Stoppage,Turnover,83.1
630,GWS GIANTS,Toby Bedford,Xavier O'Halloran,Handball Effective,Stoppage,Turnover,79.8
632,GWS GIANTS,Jack Buckley,,Kick Effective Short,Intercept,End of Quarter,146.6
634,GWS GIANTS,Harry Himmelberg,,Handball Ineffective,Stoppage,Pre-Clearance Turnover,152.5
636,GWS GIANTS,Sam Taylor,Harry Himmelberg,Handball Effective,Intercept,Stoppage,141.6
636,GWS GIANTS,Harry Himmelberg,Lachie Ash,Handball Effective,Intercept,Stoppage,156.2
636,GWS GIANTS,Lachie Ash,Harry Himmelberg,Handball Effective,Intercept,Stoppage,159.8
636,GWS GIANTS,Harry Himmelberg,,Handball Ineffective,Intercept,Stoppage,155.8
638,GWS GIANTS,Stephen Coniglio,Jacob Wehr,Kick Effective Short,Stoppage,Turnover,99.9
638,GWS GIANTS,Jacob Wehr,Brent Daniels,Kick Effective Short,Stoppage,Turnover,81
638,GWS GIANTS,Brent Daniels,,Kick Effective Long,Stoppage,Turnover,62.4
640,GWS GIANTS,Stephen Coniglio,Callum M. Brown,Handball Effective,Intercept,Turnover,120.9
640,GWS GIANTS,Callum M. Brown,Brent Daniels,Handball Effective,Intercept,Turnover,109.4
640,GWS GIANTS,Brent Daniels,Lachie Ash,Handball Effective,Intercept,Turnover,100.4
640,GWS GIANTS,Lachie Ash,Lachie Ash,Handball Ineffective,Intercept,Turnover,99.9
642,GWS GIANTS,Stephen Coniglio,Josh Kelly,Handball Effective,Intercept,Stoppage,120
