chain_number,Squad,from,to,Type,chains.start,chains.end,Dist_to_Goal
959,Sydney Swans,Harry Cunningham,Errol Gulden,Kick Effective Short,Intercept,Turnover,103.5
959,Sydney Swans,Errol Gulden,Chad Warner,Kick Effective Long,Intercept,Turnover,113.3
959,Sydney Swans,Chad Warner,Nick Blakey,Kick Effective Short,Intercept,Turnover,77.8
961,Sydney Swans,Dane Rampe,Nick Blakey,Handball Ineffective,Intercept,Turnover,131.2
963,Sydney Swans,Isaac Heeney,Tom Papley,Handball Effective,Stoppage,Score,83
963,Sydney Swans,Tom Papley,Hayden McLean,Kick Effective Long,Stoppage,Score,76
965,Sydney Swans,Isaac Heeney,Nick Blakey,Handball Effective,Intercept,Score,86.1
965,Sydney Swans,Nick Blakey,Will Hayward,Kick Effective Short,Intercept,Score,66.4
970,Sydney Swans,Sam Wicks,Brodie Grundy,Handball Effective,Intercept,Turnover,106.2
970,Sydney Swans,Brodie Grundy,Justin McInerney,Handball Effective,Intercept,Turnover,106
970,Sydney Swans,Justin McInerney,Harry Cunningham,Handball Effective,Intercept,Turnover,119.8
970,Sydney Swans,Harry Cunningham,Chad Warner,Kick Ineffective,Intercept,Turnover,124.2
970,Sydney Swans,Chad Warner,Justin McInerney,Kick Effective Short,Intercept,Turnover,101.1
970,Sydney Swans,Justin McInerney,Errol Gulden,Handball Effective,Intercept,Turnover,65
974,Sydney Swans,Harry Cunningham,Justin McInerney,Kick Effective Short,Intercept,Turnover,116.9
974,Sydney Swans,Justin McInerney,Oliver Florent,Handball Effective,Intercept,Turnover,113.5
974,Sydney Swans,Oliver Florent,Nick Blakey,Handball Effective,Intercept,Turnover,99.4
974,Sydney Swans,Nick Blakey,Hayden McLean,Handball Effective,Intercept,Turnover,95.6
974,Sydney Swans,Hayden McLean,James Rowbottom,Knock On,Intercept,Turnover,65
974,Sydney Swans,James Rowbottom,Tom Papley,Kick Effective Short,Intercept,Turnover,59.2
974,Sydney Swans,Tom Papley,Will Hayward,Kick Effective Short,Intercept,Turnover,53.3
980,Sydney Swans,Brodie Grundy,Brodie Grundy,Handball Ineffective,Intercept,Stoppage,86.2
981,Sydney Swans,Isaac Heeney,James Rowbottom,Handball Effective,Stoppage,Turnover,47.8
983,Sydney Swans,Brodie Grundy,Chad Warner,Handball Effective,Stoppage,Turnover,86.2
985,Sydney Swans,Oliver Florent,Errol Gulden,Handball Effective,Intercept,Stoppage,91.4
985,Sydney Swans,Errol Gulden,Matt Roberts,Handball Effective,Intercept,Stoppage,79.4
985,Sydney Swans,Matt Roberts,Errol Gulden,Handball Effective,Intercept,Stoppage,96.9
987,Sydney Swans,Tom Papley,Errol Gulden,Handball Effective,Stoppage,Score,22.7
991,Sydney Swans,Chad Warner,Tom Papley,Kick Effective Short,Intercept,Score,59.4
998,Sydney Swans,James Rowbottom,Nick Blakey,Handball Effective,Intercept,Score,94.1
998,Sydney Swans,Nick Blakey,Chad Warner,Handball Effective,Intercept,Score,97.9
998,Sydney Swans,Chad Warner,Dane Rampe,Knock On,Intercept,Score,98.7
998,Sydney Swans,Dane Rampe,James Jordon,Kick Effective Short,Intercept,Score,103.2
998,Sydney Swans,James Jordon,Chad Warner,Handball Effective,Intercept,Score,88.7
998,Sydney Swans,Chad Warner,Nick Blakey,Kick Effective Short,Intercept,Score,98.4
998,Sydney Swans,Nick Blakey,Logan McDonald,Kick Ineffective,Intercept,Score,68.3
1000,Sydney Swans,Chad Warner,Brodie Grundy,Handball Effective,Stoppage,Stoppage,90.4
1004,Sydney Swans,Errol Gulden,Chad Warner,Handball Effective,Intercept,Score,71.4
1004,Sydney Swans,Chad Warner,Sam Wicks,Kick Effective Short,Intercept,Score,66.8
1009,Sydney Swans,James Jordon,Errol Gulden,Handball Effective,Intercept,Score,88.6
1009,Sydney Swans,Errol Gulden,Logan McDonald,Kick Ineffective,Intercept,Score,72.2
1009,Sydney Swans,Logan McDonald,Robbie Fox,Kick Ineffective,Intercept,Score,32
1011,Sydney Swans,Harry Cunningham,Errol Gulden,Handball Ineffective,Intercept,Turnover,130
1016,Sydney Swans,Isaac Heeney,Braeden Campbell,Handball Effective,Stoppage,Turnover,111
1016,Sydney Swans,Braeden Campbell,Tom Papley,Handball Effective,Stoppage,Turnover,118.1
1021,Sydney Swans,Jake Lloyd,Robbie Fox,Handball Effective,Intercept,Stoppage,25.2
1021,Sydney Swans,Robbie Fox,Hayden McLean,Kick Ineffective,Intercept,Stoppage,21.1
1026,Sydney Swans,Justin McInerney,Logan McDonald,Handball Effective,Intercept,Score,101.1
1026,Sydney Swans,Logan McDonald,Sam Wicks,Kick Effective Long,Intercept,Score,91.9
1026,Sydney Swans,Sam Wicks,Isaac Heeney,Handball Effective,Intercept,Score,32.4
1028,Sydney Swans,Isaac Heeney,Braeden Campbell,Handball Effective,Intercept,Turnover,66.6
1034,Sydney Swans,Chad Warner,Justin McInerney,Handball Effective,Stoppage,Pre-Clearance Turnover,135.2
1034,Sydney Swans,Justin McInerney,Chad Warner,Handball Effective,Stoppage,Pre-Clearance Turnover,140.4
1036,Sydney Swans,Lewis Melican,Dane Rampe,Kick Effective Short,Intercept,Score,151.8
1036,Sydney Swans,Dane Rampe,Sam Wicks,Kick Effective Long,Intercept,Score,147.3
1036,Sydney Swans,Sam Wicks,Braeden Campbell,Kick Effective Short,Intercept,Score,128.7
1036,Sydney Swans,Braeden Campbell,Isaac Heeney,Kick Effective Long,Intercept,Score,109
1036,Sydney Swans,Isaac Heeney,Logan McDonald,Kick Effective Long,Intercept,Score,63.4
1038,Sydney Swans,Errol Gulden,Jake Lloyd,Kick Ineffective,Stoppage,Pre-Clearance Turnover,69.7
1041,Sydney Swans,Oliver Florent,Errol Gulden,Handball Effective,Stoppage,Turnover,141.4
1043,Sydney Swans,Matt Roberts,Harry Cunningham,Kick Effective Short,Kick-in,Turnover,148.3
1043,Sydney Swans,Harry Cunningham,Oliver Florent,Kick Effective Short,Kick-in,Turnover,147.2
1043,Sydney Swans,Oliver Florent,Matt Roberts,Kick Effective Short,Kick-in,Turnover,141.9
1043,Sydney Swans,Matt Roberts,Nick Blakey,Kick Backwards,Kick-in,Turnover,126.9
1043,Sydney Swans,Nick Blakey,Chad Warner,Kick Effective Short,Kick-in,Turnover,125.4
1043,Sydney Swans,Chad Warner,Justin McInerney,Kick Effective Short,Kick-in,Turnover,110.5
1046,Sydney Swans,Matt Roberts,Nick Blakey,Kick Effective Short,Kick-in,Stoppage,144.2
1047,Sydney Swans,Sam Wicks,Jake Lloyd,Handball Effective,Stoppage,Turnover,101.9
1047,Sydney Swans,Jake Lloyd,Hayden McLean,Kick Ineffective,Stoppage,Turnover,102.8
1049,Sydney Swans,James Rowbottom,Robbie Fox,Kick Ineffective,Intercept,Turnover,81.2
1055,Sydney Swans,Hayden McLean,James Jordon,Handball Effective,Intercept,Stoppage,116.7
1055,Sydney Swans,James Jordon,Harry Cunningham,Handball Effective,Intercept,Stoppage,117.6
1055,Sydney Swans,Harry Cunningham,Nick Blakey,Kick Backwards,Intercept,Stoppage,131.3
1055,Sydney Swans,Nick Blakey,Matt Roberts,Kick Backwards,Intercept,Stoppage,133.5
1055,Sydney Swans,Matt Roberts,Robbie Fox,Kick Effective Long,Intercept,Stoppage,145.6
1321,Sydney Swans,Logan McDonald,Will Hayward,Kick Ineffective,Stoppage,Score,31.4
1323,Sydney Swans,Jake Lloyd,Harry Cunningham,Handball Effective,Intercept,Score,82.6
1323,Sydney Swans,Harry Cunningham,James Rowbottom,Handball Effective,Intercept,Score,86.5
1323,Sydney Swans,James Rowbottom,Oliver Florent,Handball Effective,Intercept,Score,81.9
1323,Sydney Swans,Oliver Florent,Justin McInerney,Kick Effective Short,Intercept,Score,87.1
1323,Sydney Swans,Justin McInerney,Logan McDonald,Kick Effective Short,Intercept,Score,64.8
1325,Sydney Swans,Harry Cunningham,Jake Lloyd,Handball Effective,Intercept,Turnover,87.2
1325,Sydney Swans,Jake Lloyd,Lewis Melican,Handball Effective,Intercept,Turnover,92.1
1325,Sydney Swans,Lewis Melican,Will Hayward,Kick Effective Short,Intercept,Turnover,91.6
1325,Sydney Swans,Will Hayward,Lewis Melican,Kick Backwards,Intercept,Turnover,80.4
