SEASON_ID,GROUP_ROUND,MATCH_ID,shots.period,shots.periodSecs,shots.player.displayName,PERSON_ID,shots.squad.code,SQUAD_NAME,shots.details.angleGroup,shots.details.distanceGroup,shots.details.origin,shots.details.type,shots.details.location.x,shots.details.location.xStd,shots.details.location.y,shots.details.location.yStd,shots.details.locationRotated.x,shots.details.locationRotated.xStd,shots.details.locationRotated.y,shots.details.locationRotated.yStd,shots.result.name,shots.result.code,shots.result.points,shots.result.pointsExpected,shots.result.accuracyExpected,shots.score.homePoints,shots.score.awayPoints
2023,R19,266841617,4,1825,D.Sheed,296296,WCE,West Coast Eagles,Right Acute,15-30m,Mark,Set Shot Regular,-66.9,-66.9,13.6,14.9,66.9,66.9,-13.6,-14.9,Goal,G,6,4.162352941,0.644705882,140,69
2023,R19,266839057,1,54,C.Cameron,990609,BL,Brisbane Lions,Left Corridor,30-40m,General Play,General Play Snap,39,40,8.6,8.8,39,40,8.6,8.8,Missed Shot,M,0,2.63322884,0.376175549,0,0
2023,R19,266839057,1,81,D.Wilmot,1017067,BL,Brisbane Lions,Right Corridor,40-50m,General Play,General Play Regular,30.8,31.6,-10,-10.2,30.8,31.6,-10,-10.2,Behind,B,1,2.67191601,0.380577428,1,0
2023,R19,266839057,1,159,M.Blicavs,296733,GEEL,Geelong Cats,Left Corridor,40-50m,General Play,General Play Regular,-31.6,-32.4,-9.6,-9.8,31.6,32.4,9.6,9.8,Missed Shot,M,0,2.532653061,0.357142857,1,0
2023,R19,266839057,1,262,E.Hipwood,993953,BL,Brisbane Lions,Right Acute,40-50m,Free Kick,Set Shot Regular,57.6,59.1,-35.4,-36.1,57.6,59.1,-35.4,-36.1,Goal,G,6,2.643044619,0.374015748,7,0
2023,R19,266839057,1,368,C.Cameron,990609,BL,Brisbane Lions,Right Acute,40-50m,Mark,Set Shot Regular,49.4,50.7,-39.3,-40.2,49.4,50.7,-39.3,-40.2,Missed Shot,M,0,2.556807512,0.358059468,7,0
2023,R19,266839057,1,454,J.Bowes,998260,GEEL,Geelong Cats,Left Corridor,40-50m,General Play,General Play Regular,-36.7,-37.6,-10.6,-10.8,36.7,37.6,10.6,10.8,Behind,B,1,2.85546875,0.41015625,8,1
2023,R19,266839057,1,626,K.Coleman,1006059,BL,Brisbane Lions,Right Acute,40-50m,General Play,General Play Regular,44.6,45.7,-28.2,-28.8,44.6,45.7,-28.2,-28.8,Missed Shot,M,0,0.294117647,0,8,1
2023,R19,266839057,1,703,T.Hawkins,261510,GEEL,Geelong Cats,Right Boundary,30-40m,General Play,General Play Snap,-63.7,-65.3,33.6,34.3,63.7,65.3,-33.6,-34.3,Behind,B,1,1.264150943,0.141509434,8,2
2023,R19,266839057,1,755,P.Dangerfield,270917,GEEL,Geelong Cats,Left Corridor,40-50m,General Play,General Play Snap,-40.2,-41.2,-24.2,-24.7,40.2,41.2,24.2,24.7,Missed Shot,M,0,2.796428571,0.398214286,8,2
